clean_id,height_network48_m,phase_sigma_network48_rad,roof_iqr_network48_m,support_points,ground_points,unwrap_valid_support_points,gamma_sbas_output_points,points_after_iqr,median_mean_coherence,height_network36_m,phase_sigma_network36_rad,roof_iqr_network36_m,network_height_difference_m,absolute_network_height_difference_m,insar_height_m,median_phase_sigma_rad,roof_height_iqr_m,solution_source,filled_from_prior,insar_only,paper_median_height_m,upper_plateau_applied,upper_plateau_point_jaccard,upper_plateau_network_difference_m,aggregation_extension,upper_plateau_uplift_m
164,18.31436099857092,0.1213414259254932,6.345995187759399,6,40,6,6,6.0,0.7672781553119421,17.620707377791405,0.1125227659940719,3.580166816711426,-0.6936536207795143,0.6936536207795143,17.967534188181162,0.1169320959597825,4.963081002235413,GAMMA_equal_network48_36_consensus,0,0,17.967534188181162,0,,,paper_IQR_median,0.0
166,4.997045338153839,0.1572117283940315,1.926313161849976,12,40,10,10,10.0,0.7921482104187211,5.783402234315872,0.074688546359539,1.308165729045868,0.7863568961620331,0.7863568961620331,5.390223786234856,0.1159501373767852,1.617239445447922,GAMMA_equal_network48_36_consensus,0,0,5.390223786234856,0,,,paper_IQR_median,0.0
169,25.78285738825798,0.3883439302444458,2.1200766563415527,6,40,6,6,5.0,0.7962562975784143,26.80550530552864,0.3334174156188965,2.7699499130249023,1.0226479172706604,1.0226479172706604,26.29418134689331,0.3608806729316711,2.4450132846832275,GAMMA_equal_network48_36_consensus,0,0,26.29418134689331,0,,,paper_IQR_median,0.0
170,20.5980076789856,0.2200217023491859,6.323854446411133,118,40,116,116,116.0,0.8557747816666961,18.19689512252808,0.3018856346607208,4.199865341186523,-2.4011125564575195,2.4011125564575195,19.39745140075684,0.2609536685049534,5.261859893798828,GAMMA_equal_network48_36_consensus,0,0,19.39745140075684,0,,,paper_IQR_median,0.0
171,54.19371013343334,0.1181881204247474,1.5444698333740234,13,40,11,11,11.0,0.8104293160140514,56.21394072473049,0.2805721759796142,1.663532257080078,2.0202305912971497,2.0202305912971497,55.20382542908192,0.1993801482021808,1.6040010452270508,GAMMA_equal_network48_36_consensus,0,0,55.20382542908192,0,,,paper_IQR_median,0.0
180,52.06690299510956,0.2446544468402862,2.9115028381347656,40,40,8,8,8.0,0.7764971411476532,50.39619302749634,0.3737974166870117,1.244797706604004,-1.6707099676132202,1.6707099676132202,51.23154801130295,0.309225931763649,2.0781502723693848,GAMMA_equal_network48_36_consensus,0,0,51.23154801130295,0,,,paper_IQR_median,0.0
183,25.15306282043457,0.1554604470729828,6.045934677124023,19,40,17,17,5.0,0.7956330118079981,23.53740882873535,0.176802709698677,7.017379760742188,-1.6156539916992188,1.6156539916992188,24.34523582458496,0.22894051671028137,1.8118219375610352,GAMMA_equal_network48_36_consensus,0,0,16.0234392285347,1,1.0,1.6156539916992188,dual_network_spatial_upper_plateau,8.321796596050262
184,17.83671808242798,0.2547806948423385,3.201372265815735,21,40,18,18,18.0,0.7877606560165683,16.205424785614014,0.3526244461536407,1.8466533422470093,-1.6312932968139648,1.6312932968139648,17.021071434020996,0.3037025704979896,2.524012804031372,GAMMA_equal_network48_36_consensus,0,0,17.021071434020996,0,,,paper_IQR_median,0.0
185,11.14010238647461,0.1622920036315918,3.1003064662218094,66,40,63,63,61.0,0.7996711848924557,10.35925005376339,0.5257514715194702,3.336005687713623,-0.7808523327112198,0.7808523327112198,10.749676220119,0.344021737575531,3.218156076967716,GAMMA_equal_network48_36_consensus,0,0,10.749676220119,0,,,paper_IQR_median,0.0
186,30.256821513175964,0.2292179837822914,2.5302443504333496,50,40,48,48,48.0,0.8172025371265288,30.551106929779053,0.32734315097332,4.835679531097412,0.2942854166030884,0.2942854166030884,30.40396422147751,0.2782805673778057,3.682961940765381,GAMMA_equal_network48_36_consensus,0,0,30.40396422147751,0,,,paper_IQR_median,0.0
